state,answer_set,facility_name,eligible_to_vote,count,n_respondents,pct_of_respondents
NY,all-surveys,"Chemung County Jail, NY",Yes,9,11,0.8181818181818182
NY,all-surveys,"Niagara County Correctional Facility, NY",No,9,41,0.21951219512195122
NY,all-surveys,"Onondaga County, NY",Yes,9,15,0.6
NY,all-surveys,"Suffolk County, NY ",No,9,51,0.17647058823529413
OH,all-surveys,"Columbiana County Jail, OH",Yes,9,17,0.5294117647058824
OH,all-surveys,"Greene County, OH: Adult Detention",Yes,9,18,0.5
OH,all-surveys,"Muskingum County, OH",Yes,9,22,0.4090909090909091
PA,all-surveys,"Indiana County, PA",Yes,9,15,0.6
UT,all-surveys,"Beaver County, UT",No,9,28,0.32142857142857145
VA,all-surveys,"Botetourt Craig Public Safety Facility, VA",No,9,15,0.6
VA,all-surveys,"Western Regional, VA",Yes,9,36,0.25
AL,all-surveys,"Etowah County Jail, AL",Not sure,8,32,0.25
AL,all-surveys,"Riverside Regional, VA",Yes,8,25,0.32
AZ,all-surveys,"Pinal County Jail, AZ",Not sure,8,36,0.2222222222222222
AZ,all-surveys,"Pinal County Jail, AZ",Yes,8,36,0.2222222222222222
CA,all-surveys,"Alameda County-Santa Rita, CA",No,8,34,0.23529411764705882
CA,all-surveys,"Madera County, CA",Not sure,8,44,0.18181818181818182
CA,all-surveys,"Orange County, CA - Central Jail Complex",No,8,68,0.11764705882352941
CA,all-surveys,"Sonoma County, CA",No,8,17,0.47058823529411764
CA,all-surveys,"Tuolumne-Dambacher Detention Center, CA",Yes,8,12,0.6666666666666666
CA,all-surveys,"Yuba County, CA ",Yes,8,12,0.6666666666666666
CO,all-surveys,"Pueblo County, CO",Not sure,8,63,0.12698412698412698
FL,all-surveys,"Monroe County-Key West, FL",Yes,8,17,0.47058823529411764
FL,all-surveys,"Nassau County, FL",No,8,18,0.4444444444444444
GA,all-surveys,"Hall County Jail, GA",No,8,10,0.8
IA,all-surveys,"Polk County, IA ",No,8,28,0.2857142857142857
KS,all-surveys,"Douglas County, KS",Yes,8,20,0.4
KY,all-surveys,"Clay County Detention Center, KY",No,8,13,0.6153846153846154
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Not sure,8,27,0.2962962962962963
